"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7664","login_Failed()","","2026-01-04","passed","2026-01-04","","tests.login.LoginTest","tests.login.LoginTest","login_Failed"
"","15060","pageShouldHaveThreeButtons()","","2026-01-04","passed","2026-01-04","","tests.challlengingdom.ChallengingDomTest","tests.challlengingdom.ChallengingDomTest","pageShouldHaveThreeButtons"
"","18066","shouldAddMultipleElements()","","2026-01-04","passed","2026-01-04","","tests.addremove.MutipleAddTest","tests.addremove.MutipleAddTest","shouldAddMultipleElements"
"","13023","rightClick_TriggerAlert()","","2026-01-04","passed","2026-01-04","","tests.contextmenu.ContextMenuTest","tests.contextmenu.ContextMenuTest","rightClick_TriggerAlert"
"","9883","dragAndDropSuccessTest()","","2026-01-04","passed","2026-01-04","","tests.dragdrop.DragAndDropTest","tests.dragdrop.DragAndDropTest","dragAndDropSuccessTest"
"Detect broken images using JavaScript naturalWidth strategy","17647","detectBrokenImages_UIandAPI()","","2026-01-04","failed","2026-01-04","","tests.brokenimages.BrokenImagesTest","tests.brokenimages.BrokenImagesTest","detectBrokenImages_UIandAPI"
"","2455","basicAuthSuccessWithCredentials()","","2026-01-04","passed","2026-01-04","","tests.api.BasicAuthTest","tests.api.BasicAuthTest","basicAuthSuccessWithCredentials"
"","9914","clickEditeShouldNotThrowError()","","2026-01-04","passed","2026-01-04","","tests.challlengingdom.ChallengingDomTest","tests.challlengingdom.ChallengingDomTest","clickEditeShouldNotThrowError"
"","12322","shouldBeAbleto_ToggleCheckboxes()","","2026-01-04","passed","2026-01-04","","tests.checkbox.CheckBoxesTest","tests.checkbox.CheckBoxesTest","shouldBeAbleto_ToggleCheckboxes"
"","15207","headerShouldBeStable()","","2026-01-04","passed","2026-01-04","","tests.challlengingdom.ChallengingDomTest","tests.challlengingdom.ChallengingDomTest","headerShouldBeStable"
"","18791","abTestPageShowValidTitle()","","2026-01-04","passed","2026-01-04","","tests.abtest.ABTestTest","tests.abtest.ABTestTest","abTestPageShowValidTitle"
"","2032","basicAuthFailWithWrongCredentials()","","2026-01-04","passed","2026-01-04","","tests.api.BasicAuthTest","tests.api.BasicAuthTest","basicAuthFailWithWrongCredentials"
"","30163","addAndRemoveSuccessfully()","","2026-01-04","passed","2026-01-04","","tests.addremove.AddRemoveTest","tests.addremove.AddRemoveTest","addAndRemoveSuccessfully"
"","17689","open_showHomeMessage()","","2026-01-04","passed","2026-01-04","","tests.smoke.SmokeTest","tests.smoke.SmokeTest","open_showHomeMessage"
"","13303","tableShouldHaveRows()","","2026-01-04","passed","2026-01-04","","tests.challlengingdom.ChallengingDomTest","tests.challlengingdom.ChallengingDomTest","tableShouldHaveRows"
"","10064","login_Success()","","2026-01-04","passed","2026-01-04","","tests.login.LoginTest","tests.login.LoginTest","login_Success"
"","14997","checkboxInitilState_Should_beCorrect()","","2026-01-04","passed","2026-01-04","","tests.checkbox.CheckBoxesTest","tests.checkbox.CheckBoxesTest","checkboxInitilState_Should_beCorrect"
